petition_id,abstract_length,label_length,numberOfSignatures
0,44,8,6077572
1,33,8,4150262
2,40,12,1863708
3,52,9,608104
4,14,8,596875
5,12,7,586930
6,33,12,463501
7,47,11,339925
8,44,11,317542
9,42,13,307585
10,51,13,269157
11,54,9,245783
12,49,6,238769
13,19,16,237396
14,53,9,236995
15,49,15,227745
16,46,10,221866
17,29,10,221514
18,47,6,216949
19,26,11,213624
20,48,8,212743
21,56,14,205359
22,52,13,204790
23,24,12,203236
24,41,6,199391
25,45,7,192080
26,41,5,190223
27,53,10,189881
28,33,10,187902
29,54,12,185175
30,48,15,180482
31,46,6,177014
32,34,13,170981
33,37,13,168160
34,50,12,165932
35,49,14,164166
36,42,4,162568
37,54,9,161347
38,26,13,156599
39,47,14,155516
40,39,13,153679
41,55,15,152420
42,46,9,151403
43,59,13,150110
44,45,15,149138
45,55,12,148327
46,45,13,148249
47,50,12,147307
48,48,10,146452
49,50,11,143653
50,54,4,141838
51,44,6,136890
52,24,8,136468
53,55,7,135939
54,45,8,134194
55,56,14,133921
56,46,7,133069
57,23,11,131365
58,46,8,128238
59,51,11,128210
60,39,12,128002
61,34,10,127729
62,48,2,127296
63,48,15,127199
64,36,10,125958
65,44,4,123077
66,51,10,120680
67,52,12,120129
68,43,14,118056
69,46,11,118034
70,51,9,117716
71,14,12,116485
72,31,13,114504
73,34,13,114122
74,44,15,113614
75,48,15,113285
76,49,4,112636
77,47,2,112585
78,48,11,112027
79,44,9,110876
80,45,14,110137
81,50,11,110065
82,50,9,109554
83,50,9,108530
84,46,10,108320
85,45,14,107352
86,52,13,107177
87,51,15,106633
88,40,14,106409
89,49,11,105772
90,51,14,104038
91,46,10,103554
92,48,7,102499
93,48,12,102131
94,47,14,101980
95,45,7,101941
96,52,9,100752
97,39,12,98292
98,40,11,91913
99,51,13,89802
100,41,14,83220
101,49,13,81328
102,52,11,81192
103,48,5,81148
104,48,7,80691
105,42,13,78468
106,44,10,72120
107,52,6,72096
108,45,9,71317
109,49,11,71178
110,54,11,70481
111,51,13,68044
112,41,11,67959
113,41,10,67158
114,29,4,66972
115,48,12,66256
116,55,9,65221
117,58,12,64226
118,50,8,64016
119,42,12,63725
120,43,7,63538
121,43,11,62478
122,41,3,61101
123,49,9,60894
124,40,13,58674
125,49,15,58448
126,53,8,58293
127,52,9,57456
128,43,15,57418
129,49,12,56983
130,48,10,56301
131,17,8,55504
132,52,8,55152
133,48,16,54697
134,25,12,54116
135,24,6,53706
136,42,12,53525
137,44,11,53432
138,30,5,52712
139,23,8,52501
140,45,13,52453
141,53,9,52149
142,47,8,51234
143,51,11,50697
144,32,6,50414
145,33,12,50399
146,36,7,48775
147,41,8,47972
148,48,12,46663
149,29,12,46596
150,47,13,46161
151,50,14,45994
152,53,13,45800
153,52,12,45624
154,52,17,45413
155,43,12,44665
156,43,13,43435
157,44,10,43261
158,31,12,42844
159,60,13,42652
160,42,11,42600
161,45,9,41961
162,57,10,41382
163,49,14,41141
164,53,12,40518
165,44,14,40303
166,47,14,39843
167,50,13,39560
168,50,11,39290
169,47,15,39088
170,47,10,38732
171,53,8,38515
172,58,11,38425
173,47,14,38070
174,44,14,37928
175,49,13,37282
176,53,11,37280
177,48,10,37252
178,42,9,37155
179,38,9,36865
180,41,11,36776
181,51,11,36665
182,18,11,36371
183,31,7,36320
184,47,7,36199
185,16,10,35492
186,48,8,35378
187,50,9,35203
188,41,14,34972
189,44,9,34804
190,45,9,34671
191,34,4,34440
192,44,7,34153
193,45,5,34083
194,28,11,33686
195,39,4,33655
196,45,14,33556
197,44,7,33318
198,56,12,33044
199,43,12,32943
200,53,14,32404
201,57,7,32282
202,49,13,32010
203,49,12,31846
204,51,16,31708
205,44,10,31578
206,52,12,31522
207,43,10,31418
208,47,16,31281
209,47,15,31122
210,52,13,30665
211,47,7,30387
212,43,14,30214
213,43,10,29876
214,47,13,29843
215,51,8,29775
216,44,14,29634
217,35,16,29613
218,52,11,29463
219,45,11,29423
220,48,14,29258
221,42,4,29200
222,44,7,29114
223,27,10,28986
224,54,7,28960
225,55,8,28935
226,53,10,28807
227,42,11,28678
228,46,8,28643
229,40,9,28609
230,50,11,28589
231,47,9,28546
232,50,12,28410
233,50,16,28214
234,52,10,28118
235,45,14,27885
236,47,9,27868
237,53,13,27695
238,58,8,27605
239,49,14,27525
240,46,13,27509
241,51,12,27502
242,43,7,27277
243,49,12,27211
244,42,12,27151
245,53,15,27005
246,33,13,26951
247,31,9,26754
248,41,9,26741
249,39,12,26712
250,52,12,26459
251,49,12,26073
252,27,10,25897
253,56,10,25858
254,22,15,25834
255,8,6,25638
256,47,13,25533
257,50,13,25528
258,52,13,25378
259,32,11,25349
260,26,8,24941
261,43,11,24575
262,43,12,24540
263,48,12,24398
264,44,5,24194
265,47,12,24126
266,42,11,24091
267,45,11,24015
268,29,4,23942
269,50,10,23834
270,56,14,23749
271,47,14,23740
272,53,10,23686
273,18,7,23508
274,49,3,23414
275,51,15,23297
276,50,6,23242
277,48,9,23218
278,46,8,23141
279,41,11,23124
280,42,13,23083
281,51,14,23045
282,54,13,22968
283,45,4,22956
284,52,15,22925
285,46,16,22809
286,46,11,22543
287,42,11,22510
288,47,14,22491
289,52,13,22459
290,47,12,22362
291,48,3,22287
292,32,5,22146
293,53,11,21799
294,51,14,21672
295,38,11,21545
296,49,16,21537
297,53,11,21331
298,18,12,21292
299,54,8,21248
300,35,5,21012
301,56,15,20945
302,38,11,20943
303,50,13,20783
304,15,14,20768
305,46,12,20724
306,49,13,20679
307,51,14,20613
308,35,7,20580
309,49,5,20549
310,50,12,20368
311,41,8,20215
312,49,7,20049
313,54,15,20018
314,50,10,20004
315,33,12,20000
316,48,15,19834
317,48,9,19815
318,54,15,19765
319,34,8,19722
320,43,6,19668
321,32,9,19663
322,46,8,19653
323,41,12,19542
324,48,15,19443
325,42,10,19396
326,55,10,19250
327,46,13,19229
328,61,3,19205
329,37,9,19142
330,32,3,19120
331,36,5,19104
332,39,12,19069
333,49,13,19012
334,42,12,19012
335,54,15,18984
336,42,9,18951
337,47,14,18805
338,33,11,18794
339,33,10,18784
340,40,9,18741
341,46,13,18720
342,47,8,18679
343,24,8,18676
344,47,13,18633
345,49,9,18614
346,49,13,18483
347,57,13,18451
348,45,10,18435
349,41,9,18429
350,53,14,18418
351,47,9,18381
352,45,12,18264
353,45,13,18263
354,40,10,18254
355,46,12,18163
356,20,5,18145
357,51,12,18021
358,26,12,17992
359,52,5,17892
360,44,13,17880
361,47,13,17752
362,56,14,17734
363,50,12,17699
364,44,16,17533
365,53,10,17459
366,44,13,17424
367,41,7,17417
368,37,12,17347
369,43,10,17214
370,43,11,17076
371,52,16,17073
372,49,4,17052
373,42,13,17034
374,27,4,16902
375,48,15,16868
376,43,10,16865
377,46,14,16856
378,41,6,16855
379,45,6,16813
380,52,14,16740
381,49,7,16723
382,57,7,16705
383,50,8,16671
384,48,13,16501
385,55,17,16495
386,49,5,16487
387,45,12,16445
388,53,13,16441
389,56,12,16300
390,63,13,16253
391,27,10,16131
392,54,8,16047
393,46,10,16038
394,44,12,16016
395,53,14,15856
396,42,14,15849
397,51,10,15793
398,47,11,15765
399,45,8,15713
400,45,10,15693
401,41,15,15436
402,46,9,15404
403,13,7,15403
404,44,12,15400
405,51,7,15385
406,25,13,15368
407,51,13,15364
408,49,8,15346
409,47,7,15293
410,48,17,15262
411,46,9,15231
412,3,4,15211
413,46,10,15165
414,49,13,15081
415,55,15,15057
416,39,10,15042
417,22,8,14923
418,15,8,14840
419,55,9,14806
420,36,12,14748
421,48,10,14739
422,49,15,14714
423,44,12,14689
424,34,11,14681
425,60,6,14656
426,40,9,14637
427,47,6,14600
428,57,9,14561
429,24,13,14560
430,48,10,14539
431,55,15,14532
432,53,10,14531
433,24,10,14518
434,47,11,14457
435,47,8,14374
436,59,11,14345
437,53,5,14329
438,47,12,14329
439,49,12,14297
440,57,4,14288
441,26,9,14270
442,47,12,14188
443,54,9,14183
444,47,13,14178
445,51,9,14090
446,32,5,14067
447,43,12,14062
448,45,12,14040
449,39,11,14030
450,50,10,14002
451,16,5,13990
452,42,8,13947
453,49,14,13942
454,41,9,13914
455,50,14,13870
456,44,11,13809
457,49,9,13787
458,50,15,13732
459,52,8,13710
460,21,7,13685
461,43,12,13652
462,33,12,13637
463,45,14,13626
464,52,11,13580
465,49,11,13546
466,40,11,13525
467,47,11,13456
468,49,12,13424
469,32,11,13392
470,26,6,13390
471,48,9,13378
472,52,8,13346
473,47,10,13345
474,36,4,13285
475,28,10,13282
476,46,12,13256
477,53,12,13250
478,47,8,13239
479,46,6,13233
480,52,12,13204
481,34,14,13194
482,37,14,13189
483,45,4,13179
484,53,10,13136
485,37,10,13108
486,14,14,13042
487,37,5,13016
488,43,7,13015
489,23,13,13010
490,54,11,12967
491,58,10,12966
492,58,10,12958
493,41,12,12958
494,51,11,12902
495,23,12,12896
496,47,7,12887
497,47,14,12858
498,53,10,12809
499,49,13,12807
500,48,13,12793
501,47,13,12777
502,56,13,12741
503,51,12,12729
504,44,12,12717
505,48,10,12693
506,25,13,12621
507,35,10,12615
508,50,12,12598
509,45,11,12520
510,36,12,12500
511,38,9,12490
512,50,6,12467
513,35,9,12455
514,55,12,12428
515,46,12,12368
516,43,13,12355
517,47,12,12239
518,31,12,12190
519,47,12,12136
520,44,7,12134
521,49,14,12102
522,47,12,12096
523,8,9,12084
524,49,11,12080
525,50,7,12046
526,45,13,12040
527,40,10,12040
528,47,9,12038
529,23,10,12026
530,39,14,12014
531,55,12,11975
532,36,12,11948
533,34,15,11941
534,51,10,11937
535,52,13,11936
536,49,10,11928
537,30,6,11892
538,50,15,11872
539,59,11,11867
540,51,15,11865
541,56,12,11859
542,46,10,11854
543,47,12,11851
544,47,13,11849
545,24,11,11839
546,50,11,11835
547,53,12,11821
548,38,13,11813
549,50,12,11806
550,37,11,11795
551,48,12,11795
552,40,14,11782
553,44,12,11781
554,43,13,11717
555,29,6,11713
556,42,14,11697
557,47,8,11673
558,48,6,11637
559,48,10,11622
560,45,6,11595
561,35,11,11580
562,27,9,11576
563,48,11,11574
564,45,9,11566
565,43,10,11526
566,48,13,11499
567,51,14,11472
568,45,13,11458
569,49,12,11455
570,49,9,11431
571,42,4,11428
572,55,10,11409
573,45,12,11406
574,56,14,11406
575,49,12,11391
576,48,12,11370
577,44,14,11346
578,50,8,11335
579,54,14,11330
580,48,12,11307
581,50,11,11277
582,15,12,11217
583,34,10,11190
584,46,10,11188
585,50,10,11179
586,53,9,11152
587,46,13,11095
588,48,15,11078
589,56,14,11066
590,49,12,11054
591,31,11,11027
592,49,10,11009
593,57,7,10997
594,47,4,10990
595,42,14,10971
596,48,13,10946
597,52,10,10934
598,45,9,10932
599,47,5,10927
600,47,12,10919
601,53,15,10907
602,48,11,10879
603,44,10,10860
604,48,11,10857
605,42,11,10851
606,50,13,10850
607,40,6,10833
608,33,8,10824
609,55,7,10821
610,39,12,10792
611,52,13,10788
612,46,11,10770
613,28,8,10762
614,43,7,10755
615,43,10,10730
616,45,6,10718
617,50,13,10706
618,44,6,10675
619,46,12,10670
620,47,14,10627
621,38,11,10611
622,55,12,10610
623,44,12,10602
624,47,6,10590
625,48,9,10584
626,55,11,10564
627,53,16,10544
628,47,14,10534
629,50,11,10519
630,45,12,10508
631,47,11,10506
632,57,12,10505
633,47,5,10504
634,44,11,10496
635,59,15,10485
636,50,12,10484
637,56,13,10481
638,51,11,10476
639,45,10,10476
640,55,10,10462
641,30,11,10462
642,43,13,10455
643,45,10,10400
644,32,11,10396
645,46,11,10395
646,40,10,10394
647,52,15,10393
648,45,9,10389
649,16,11,10386
650,45,12,10385
651,48,9,10372
652,47,11,10359
653,51,15,10345
654,33,15,10345
655,37,6,10332
656,52,10,10319
657,48,13,10292
658,48,12,10272
659,24,13,10267
660,39,11,10265
661,37,13,10263
662,52,10,10221
663,54,10,10221
664,48,11,10218
665,55,15,10215
666,44,15,10184
667,54,15,10156
668,50,13,10131
669,51,13,10056
670,53,11,10040
671,47,11,10015
672,42,8,9947
673,53,13,9901
674,53,15,9795
675,49,12,9723
676,56,4,9663
677,52,5,9436
678,49,12,9338
679,33,14,9320
680,53,14,9287
681,48,8,9256
682,9,14,9120
683,53,4,9116
684,51,12,9065
685,14,7,9021
686,48,11,8955
687,53,12,8955
688,13,5,8951
689,55,6,8938
690,54,13,8884
691,53,13,8827
692,37,7,8824
693,31,9,8816
694,31,9,8738
695,50,6,8732
696,30,10,8700
697,39,14,8690
698,53,8,8687
699,45,10,8668
700,46,12,8603
701,28,9,8457
702,48,5,8457
703,46,10,8381
704,48,8,8368
705,42,12,8292
706,51,4,8283
707,36,10,8219
708,43,10,8215
709,46,9,8203
710,45,7,8189
711,50,13,8142
712,48,14,8123
713,50,14,8114
714,46,9,8080
715,48,7,8014
716,49,12,7990
717,37,12,7986
718,50,11,7984
719,48,10,7904
720,44,6,7891
721,51,11,7835
722,43,9,7784
723,46,13,7757
724,29,4,7754
725,38,8,7723
726,47,14,7645
727,43,13,7620
728,33,9,7618
729,51,11,7610
730,46,11,7571
731,45,14,7553
732,50,6,7548
733,51,16,7528
734,57,8,7527
735,45,14,7522
736,51,10,7512
737,23,13,7439
738,23,5,7435
739,45,10,7425
740,40,13,7389
741,49,11,7384
742,30,12,7379
743,60,14,7343
744,46,9,7338
745,51,13,7329
746,43,10,7321
747,51,6,7313
748,47,11,7305
749,32,9,7273
750,51,11,7251
751,53,11,7173
752,45,10,7154
753,43,10,7144
754,42,5,7139
755,49,9,7138
756,51,15,7135
757,51,13,7101
758,48,10,7032
759,55,10,7024
760,40,13,7002
761,43,12,6994
762,39,9,6943
763,47,11,6940
764,39,14,6920
765,45,8,6909
766,34,12,6894
767,34,5,6886
768,48,10,6884
769,43,11,6826
770,43,9,6820
771,54,10,6814
772,43,13,6804
773,27,10,6795
774,52,12,6744
775,50,14,6730
776,46,12,6722
777,49,13,6716
778,42,5,6679
779,56,12,6656
780,48,7,6614
781,55,10,6609
782,35,13,6590
783,53,7,6589
784,35,15,6526
785,31,12,6515
786,58,13,6481
787,53,12,6470
788,50,10,6451
789,47,13,6450
790,48,15,6420
791,46,12,6388
792,45,11,6375
793,58,8,6363
794,49,10,6354
795,57,12,6334
796,53,11,6333
797,27,11,6332
798,51,14,6315
799,48,5,6311
800,45,12,6302
801,46,12,6295
802,40,10,6272
803,49,16,6211
804,42,12,6209
805,44,10,6184
806,51,13,6143
807,41,13,6114
808,46,11,6083
809,41,4,5996
810,36,9,5976
811,51,11,5953
812,43,12,5951
813,47,9,5936
814,41,11,5923
815,26,9,5922
816,47,10,5911
817,48,13,5896
818,34,11,5895
819,48,13,5887
820,45,13,5866
821,42,11,5854
822,47,13,5853
823,19,12,5850
824,43,14,5843
825,53,13,5810
826,54,13,5792
827,44,11,5782
828,49,15,5771
829,46,12,5759
830,49,12,5750
831,13,7,5736
832,43,14,5722
833,44,14,5705
834,51,12,5700
835,47,11,5700
836,21,9,5693
837,49,11,5688
838,56,14,5686
839,21,4,5680
840,46,10,5678
841,58,6,5657
842,31,13,5646
843,41,12,5634
844,54,12,5592
845,49,11,5577
846,41,10,5557
847,43,8,5554
848,55,7,5543
849,45,10,5520
850,42,12,5518
851,50,10,5495
852,54,13,5493
853,59,10,5486
854,49,10,5482
855,50,11,5473
856,47,11,5464
857,50,13,5452
858,49,11,5452
859,49,16,5425
860,51,6,5422
861,51,9,5420
862,34,13,5415
863,53,12,5365
864,49,12,5362
865,48,13,5354
866,45,5,5331
867,34,12,5329
868,51,11,5322
869,48,9,5319
870,43,5,5312
871,44,9,5309
872,43,11,5295
873,34,11,5280
874,49,11,5272
875,44,13,5210
876,47,10,5205
877,44,12,5204
878,40,15,5183
879,43,11,5179
880,44,9,5175
881,48,10,5170
882,57,8,5161
883,48,12,5159
884,46,12,5156
885,40,11,5143
886,43,9,5129
887,47,6,5112
888,37,8,5104
889,17,8,5084
890,53,8,5079
891,18,10,5078
892,27,11,5073
893,53,10,5063
894,42,7,5044
895,58,15,5026
